DateTime,PPM25,PPM10,MEAN25,MEAN10
2018-02-20 23:00:00,8.0,11.0,,
2018-02-20 23:15:00,8.0,10.0,,
2018-02-20 23:30:00,7.0,9.0,,
2018-02-20 23:45:00,7.0,9.0,,
2018-02-21 00:00:00,7.0,8.0,,
2018-02-21 00:15:00,7.0,8.0,,
2018-02-21 00:30:00,6.0,8.0,,
2018-02-21 00:45:00,6.0,7.0,,
2018-02-21 01:00:00,6.0,7.0,,
2018-02-21 01:15:00,6.0,7.0,,
2018-02-21 01:30:00,6.0,6.0,,
2018-02-21 01:45:00,6.0,6.0,,
2018-02-21 02:00:00,5.0,6.0,,
2018-02-21 02:15:00,5.0,6.0,,
2018-02-21 02:30:00,5.0,6.0,,
2018-02-21 02:45:00,5.0,6.0,,
2018-02-21 03:00:00,5.0,6.0,,
2018-02-21 03:15:00,5.0,5.0,,
2018-02-21 03:30:00,5.0,5.0,,
2018-02-21 03:45:00,5.0,5.0,,
2018-02-21 04:00:00,5.0,5.0,,
2018-02-21 04:15:00,4.0,5.0,,
2018-02-21 04:30:00,4.0,5.0,,
2018-02-21 04:45:00,4.0,5.0,,
2018-02-21 05:00:00,4.0,5.0,,
2018-02-21 05:15:00,4.0,5.0,,
2018-02-21 05:30:00,4.0,5.0,,
2018-02-21 05:45:00,4.0,5.0,,
2018-02-21 06:00:00,4.0,5.0,,
2018-02-21 06:15:00,20.0,22.0,,
2018-02-21 06:30:00,24.0,26.0,,
2018-02-21 06:45:00,18.0,20.0,,
2018-02-21 07:00:00,15.0,18.0,,
2018-02-21 07:15:00,12.0,14.0,,
2018-02-21 07:30:00,11.0,12.0,,
2018-02-21 07:45:00,10.0,11.0,,
2018-02-21 08:00:00,10.0,11.0,,
2018-02-21 08:15:00,9.0,10.0,,
2018-02-21 08:30:00,9.0,10.0,,
2018-02-21 08:45:00,35.5,39.0,,
2018-02-21 09:00:00,,,,
2018-02-21 09:15:00,,,,
2018-02-21 09:30:00,,,,
2018-02-21 09:45:00,,,,
2018-02-21 10:00:00,,,,
2018-02-21 10:15:00,,,,
2018-02-21 10:30:00,,,,
2018-02-21 10:45:00,,,,
2018-02-21 11:00:00,,,,
2018-02-21 11:15:00,,,,
2018-02-21 11:30:00,,,,
2018-02-21 11:45:00,,,,
2018-02-21 12:00:00,26.0,30.0,,
2018-02-21 12:15:00,27.0,31.0,,
2018-02-21 12:30:00,27.0,30.0,,
2018-02-21 12:45:00,26.0,29.0,,
2018-02-21 13:00:00,25.0,28.0,,
2018-02-21 13:15:00,24.0,27.0,,
2018-02-21 13:30:00,22.0,25.0,,
2018-02-21 13:45:00,22.0,25.0,,
2018-02-21 14:00:00,21.5,24.0,,
2018-02-21 14:15:00,24.0,26.0,,
2018-02-21 14:30:00,27.0,30.0,,
2018-02-21 14:45:00,28.0,32.0,,
2018-02-21 15:00:00,29.0,33.0,,
2018-02-21 15:15:00,31.0,34.0,,
2018-02-21 15:30:00,31.0,35.0,,
2018-02-21 15:45:00,32.0,36.0,,
2018-02-21 16:00:00,32.5,36.5,,
2018-02-21 16:15:00,33.0,38.0,,
2018-02-21 16:30:00,34.0,39.0,,
2018-02-21 16:45:00,36.0,41.0,,
2018-02-21 17:00:00,37.0,42.5,,
2018-02-21 17:15:00,38.0,44.0,,
2018-02-21 17:30:00,40.0,45.0,,
2018-02-21 17:45:00,17.0,20.0,,
2018-02-21 18:00:00,15.0,17.0,,
2018-02-21 18:15:00,42.0,48.0,,
2018-02-21 18:30:00,54.0,61.0,,
2018-02-21 18:45:00,39.0,49.0,,
2018-02-21 19:00:00,37.0,46.0,,
2018-02-21 19:15:00,37.0,46.0,,
2018-02-21 19:30:00,36.0,46.5,,
2018-02-21 19:45:00,36.0,46.0,,
2018-02-21 20:00:00,37.0,47.0,,
2018-02-21 20:15:00,38.0,49.0,,
2018-02-21 20:30:00,39.0,51.0,,
2018-02-21 20:45:00,38.0,50.0,,
2018-02-21 21:00:00,40.0,52.0,,
2018-02-21 21:15:00,39.0,52.0,,
2018-02-21 21:30:00,41.0,53.0,,
2018-02-21 21:45:00,39.0,51.0,,
2018-02-21 22:00:00,40.0,52.0,,
2018-02-21 22:15:00,41.0,53.0,,
2018-02-21 22:30:00,40.0,53.0,,
2018-02-21 22:45:00,40.0,52.5,,
2018-02-21 23:00:00,42.0,55.5,,
2018-02-21 23:15:00,43.0,57.0,,
2018-02-21 23:30:00,42.0,55.0,,
2018-02-21 23:45:00,43.0,56.0,,
2018-02-22 00:00:00,44.0,58.0,,
2018-02-22 00:15:00,44.0,58.0,,
2018-02-22 00:30:00,43.0,56.0,,
2018-02-22 00:45:00,42.0,55.0,,
2018-02-22 01:00:00,42.0,54.0,,
2018-02-22 01:15:00,41.0,51.0,,
2018-02-22 01:30:00,43.0,55.0,,
2018-02-22 01:45:00,43.0,55.0,,
2018-02-22 02:00:00,42.0,55.0,,
2018-02-22 02:15:00,41.0,53.0,,
2018-02-22 02:30:00,42.0,55.0,,
2018-02-22 02:45:00,43.0,55.0,,
2018-02-22 03:00:00,44.0,56.0,,
2018-02-22 03:15:00,44.0,57.0,,
2018-02-22 03:30:00,43.0,55.0,,
2018-02-22 03:45:00,43.0,54.0,,
2018-02-22 04:00:00,42.0,53.0,,
2018-02-22 04:15:00,39.0,49.5,,
2018-02-22 04:30:00,40.0,50.0,,
2018-02-22 04:45:00,38.0,48.0,,
2018-02-22 05:00:00,36.0,46.0,,
2018-02-22 05:15:00,36.0,45.0,,
2018-02-22 05:30:00,36.0,45.0,,
2018-02-22 05:45:00,35.5,45.0,,
2018-02-22 06:00:00,37.0,47.0,,
2018-02-22 06:15:00,37.0,47.0,,
2018-02-22 06:30:00,39.0,49.0,,
2018-02-22 06:45:00,39.0,49.0,,
2018-02-22 07:00:00,,,,
2018-02-22 07:15:00,,,,
2018-02-22 07:30:00,,,,
2018-02-22 07:45:00,,,,
2018-02-22 08:00:00,,,,
2018-02-22 08:15:00,,,,
2018-02-22 08:30:00,,,,
2018-02-22 08:45:00,,,,
2018-02-22 09:00:00,,,,
2018-02-22 09:15:00,,,,
2018-02-22 09:30:00,32.9,41.0,,
2018-02-22 09:45:00,30.05,41.25,,
2018-02-22 10:00:00,30.7,40.7,,
2018-02-22 10:15:00,30.3,40.5,,
2018-02-22 10:30:00,31.4,42.3,,
2018-02-22 10:45:00,31.1,41.4,,
2018-02-22 11:00:00,30.25,41.0,,
2018-02-22 11:15:00,29.6,39.5,,
2018-02-22 11:30:00,29.7,39.75,,
2018-02-22 11:45:00,29.8,39.0,,
2018-02-22 12:00:00,30.8,38.4,,
2018-02-22 12:15:00,29.6,38.2,,
2018-02-22 12:30:00,29.9,39.7,,
2018-02-22 12:45:00,29.7,38.1,,
2018-02-22 13:00:00,29.4,39.25,,
2018-02-22 13:15:00,30.5,39.1,,
2018-02-22 13:30:00,29.7,37.6,,
2018-02-22 13:45:00,29.5,37.2,,
2018-02-22 14:00:00,30.2,38.8,,
2018-02-22 14:15:00,30.1,38.4,,
2018-02-22 14:30:00,30.25,38.8,,
2018-02-22 14:45:00,30.4,39.1,,
2018-02-22 15:00:00,30.5,38.95,,
2018-02-22 15:15:00,30.9,38.2,,
2018-02-22 15:30:00,31.15,39.65,,
2018-02-22 15:45:00,30.3,38.1,,
2018-02-22 16:00:00,30.7,38.4,,
2018-02-22 16:15:00,31.0,38.6,,
2018-02-22 16:30:00,30.8,38.25,,
2018-02-22 16:45:00,31.9,41.3,,
2018-02-22 17:00:00,30.05,38.45,,
2018-02-22 17:15:00,30.5,38.5,,
2018-02-22 17:30:00,30.35,38.5,,
2018-02-22 17:45:00,30.6,39.2,,
2018-02-22 18:00:00,30.45,39.3,,
2018-02-22 18:15:00,29.9,37.3,,
2018-02-22 18:30:00,30.25,38.05,,
2018-02-22 18:45:00,29.8,37.2,,
2018-02-22 19:00:00,29.95,37.75,,
2018-02-22 19:15:00,29.8,36.8,,
2018-02-22 19:30:00,30.0,37.1,,
2018-02-22 19:45:00,31.0,38.0,,
